"","Journal.name","X2021.JIF"
"11","NATURE",69.504
"21","SCIENCE",63.714
"1","Annual Review of Entomology",22.682
"2","TRENDS IN ECOLOGY & EVOLUTION",20.589
"3","Nature Ecology & Evolution",19.1
"6","Nature Communications",17.694
"7","Science Advances",14.957
"10","ECOLOGY LETTERS",11.274
"12","CURRENT BIOLOGY",10.9
"16","PLOS BIOLOGY",9.593
"223","PHYSICAL REVIEW LETTERS",9.185
"20","eLife",8.713
"22","Methods in Ecology and Evolution",8.335
"28","BMC BIOLOGY",7.364
"37","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",6.671
"41","Communications Biology",6.548
"43","Evolution Letters",6.494
"44","ECOLOGY",6.431
"46","FUNCTIONAL ECOLOGY",6.282
"55","JOURNAL OF ANIMAL ECOLOGY",5.606
"60","Current Opinion in Insect Science",5.254
"61","Movement Ecology",5.253
"68","MOLECULAR PHYLOGENETICS AND EVOLUTION",5.019
"19","Scientific Reports",4.996
"9","PLoS Computational Biology",4.779
"76","Interface Focus",4.661
"82","Frontiers in Ecology and Evolution",4.493
"222","Journal of the Royal Society Interface",4.293
"93","OIKOS",4.254
"99","EVOLUTION",4.171
"113","HEREDITY",3.832
"114","Biology Letters",3.812
"29","PLoS One",3.752
"186","Swarm Intelligence",3.727
"118","Evolutionary Biology",3.696
"30","Royal Society Open Science",3.653
"121","JOURNAL OF BIOLOGICAL RHYTHMS",3.649
"122","Insect Science",3.605
"129","ECOLOGICAL MODELLING",3.512
"130","BMC EVOLUTIONARY BIOLOGY",3.436
"137","BMC ECOLOGY",3.368
"139","JOURNAL OF EXPERIMENTAL BIOLOGY",3.308
"141","OECOLOGIA",3.298
"151","Ecology and Evolution",3.167
"153","Zoological Letters",3.157
"157","Insects",3.139
"159","BEHAVIORAL ECOLOGY",3.087
"33","PeerJ",3.061
"161","ANIMAL BEHAVIOUR",3.039
"166","Ecological Complexity",2.969
"171","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY",2.944
"187","JOURNAL OF CHEMICAL ECOLOGY",2.793
"191","Current Zoology",2.734
"194","ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA",2.727
"103","PHYSICAL REVIEW E",2.707
"204","Biology Open",2.643
"206","JOURNAL OF INSECT PHYSIOLOGY",2.608
"215","JOURNAL OF EVOLUTIONARY BIOLOGY",2.516
"221","JOURNAL OF ECONOMIC ENTOMOLOGY",2.447
"224","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA",2.433
"40","Science of Nature",2.427
"229","JOURNAL OF THEORETICAL BIOLOGY",2.405
"234","ENVIRONMENTAL ENTOMOLOGY",2.387
"239","POPULATION ECOLOGY",2.367
"250","BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",2.277
"254","ECOLOGICAL ENTOMOLOGY",2.233
"275","EVOLUTIONARY ECOLOGY",2.074
"276","JOURNAL OF INSECT SCIENCE",2.066
"277","ECOLOGICAL RESEARCH",2.056
"279","BULLETIN OF ENTOMOLOGICAL RESEARCH",2.048
"292","INSECTES SOCIAUX",1.946
"296","PHYSIOLOGICAL ENTOMOLOGY",1.929
"306","ETHOLOGY",1.857
"329","BEHAVIOURAL PROCESSES",1.729
"354","ARTIFICIAL LIFE",1.717
"357","APPLIED ENTOMOLOGY AND ZOOLOGY",1.504
"167","EUROPEAN PHYSICAL JOURNAL B",1.398
"376","BIOLOGICAL RHYTHM RESEARCH",1.362
"391","ENTOMOLOGICAL SCIENCE",1.294
"403","JOURNAL OF ETHOLOGY",1.202
"418","ETHOLOGY ECOLOGY & EVOLUTION",1.14
"434","JOURNAL OF INSECT BEHAVIOR",1.038
"467","SOCIOBIOLOGY",0.864
