Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
Annual Review of Entomology,ANNU REV ENTOMOL,0066-4170,1545-4487,ENTOMOLOGY - SCIE,"16,489",22.682,Q1,3.86,1.45%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,EVOLUTIONARY BIOLOGY - SCIE; ECOLOGY - SCIE,"44,895",20.589,Q1,1.8,22.69%
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"15,584",19.1,Q1,3.62,7.94%
BIOLOGICAL REVIEWS,BIOL REV,1464-7931,1469-185X,BIOLOGY - SCIE,"19,206",14.35,Q1,2.64,35.83%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,ECOLOGY - SCIE; EVOLUTIONARY BIOLOGY - SCIE,"24,135",14.34,Q1,1.31,0%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,ECOLOGY - SCIE,"15,209",13.78,Q1,1.85,44.07%
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,2165-8102,2165-8110,ZOOLOGY - SCIE,"1,944",13.341,Q1,4.92,4.92%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,ECOLOGY - SCIE,"66,410",13.211,Q1,2.44,30.54%
BIOSCIENCE,BIOSCIENCE,0006-3568,1525-3244,BIOLOGY - SCIE,"24,496",11.566,Q1,2.36,35.74%
ECOLOGY LETTERS,ECOL LETT,1461-023X,1461-0248,ECOLOGY - SCIE,"42,643",11.274,Q1,2.27,28.62%
ISME Journal,ISME J,1751-7362,1751-7370,ECOLOGY - SCIE,"39,660",11.217,Q1,2.53,57.61%
CURRENT BIOLOGY,CURR BIOL,0960-9822,1879-0445,BIOLOGY - SCIE,"85,124",10.9,Q1,1.83,31.81%
Science China-Life Sciences,SCI CHINA LIFE SCI,1674-7305,1869-1889,BIOLOGY - SCIE,"7,316",10.372,Q1,1.89,1.05%
Physics of Life Reviews,PHYS LIFE REV,1571-0645,1873-1457,BIOLOGY - SCIE,"2,121",9.833,Q1,1.38,11.32%
ECOLOGICAL MONOGRAPHS,ECOL MONOGR,0012-9615,1557-7015,ECOLOGY - SCIE,"14,142",9.814,Q1,2.22,25.93%
