Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
IEEE Communications Surveys and Tutorials,IEEE COMMUN SURV TUT,N/A,1553-877X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","26,129",33.84,Q1,8.27,8.53%
Nature Machine Intelligence,NAT MACH INTELL,N/A,2522-5839,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,060",25.898,Q1,3.92,3.77%
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,1364-6613,1879-307X,BEHAVIORAL SCIENCES - SCIE,"36,688",24.482,Q1,2.23,20.28%
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","73,149",24.314,Q1,4.45,4.14%
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,1469-1825,BEHAVIORAL SCIENCES - SCIE,"12,872",21.357,Q1,3.36,0%
IEEE Transactions on Cybernetics,IEEE T CYBERNETICS,2168-2267,2168-2275,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","38,676",19.118,Q1,3.25,1.63%
Information Fusion,INFORM FUSION,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","13,268",17.564,Q1,4.29,6.81%
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","20,841",16.497,Q1,3.53,2.09%
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,J STRATEGIC INF SYST,0963-8687,1873-1198,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","3,271",14.682,Q1,2.58,17.74%
IEEE Transactions on Neural Networks and Learning Systems,IEEE T NEUR NET LEAR,2162-237X,2162-2388,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","49,190",14.255,Q1,3.1,2.02%
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","14,899",14.05,Q1,0.78,14.24%
IEEE Transactions on Affective Computing,IEEE T AFFECT COMPUT,1949-3045,1949-3045,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","4,522",13.99,Q1,1.77,1.64%
MEDICAL IMAGE ANALYSIS,MED IMAGE ANAL,1361-8415,1361-8423,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE; COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,080",13.828,Q1,2.48,18.96%
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23,067",13.369,Q1,2.61,21.04%
Foundations and Trends in Information Retrieval,FOUND TRENDS INF RET,1554-0669,1554-0677,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE",589,13.286,Q1,3.65,0%
IEEE WIRELESS COMMUNICATIONS,IEEE WIREL COMMUN,1536-1284,1558-0687,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","9,679",12.777,Q1,3.3,0%
IEEE TRANSACTIONS ON FUZZY SYSTEMS,IEEE T FUZZY SYST,1063-6706,1941-0034,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","25,583",12.253,Q1,2.93,1%
Journal of Industrial Information Integration,J IND INF INTEGR,2467-964X,2452-414X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","1,826",11.718,Q1,1.85,6.84%
IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,1551-3203,1941-0050,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","37,957",11.648,Q1,2.5,2.25%
COMPUTERS IN INDUSTRY,COMPUT IND,0166-3615,1872-6194,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","7,928",11.245,Q1,1.83,10.20%
COMPUTERS & EDUCATION,COMPUT EDUC,0360-1315,1873-782X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","25,968",11.182,Q1,3.75,11.44%
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","67,579",11.041,Q1,2.16,3.55%
IEEE TRANSACTIONS ON MEDICAL IMAGING,IEEE T MED IMAGING,0278-0062,1558-254X,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","32,367",11.037,Q1,2.54,5.04%
IEEE Transactions on Services Computing,IEEE T SERV COMPUT,1939-1374,1939-1374,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","4,592",11.019,Q1,3.09,0.64%
ACM Transactions on Intelligent Systems and Technology,ACM T INTEL SYST TEC,2157-6904,2157-6912,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE; COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","5,126",10.489,Q1,1.55,0%
INFORMATION & MANAGEMENT,INFORM MANAGE-AMSTER,0378-7206,1872-7530,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","13,322",10.328,Q1,2.48,6.90%
IEEE NETWORK,IEEE NETWORK,0890-8044,1558-156X,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","8,874",10.294,Q1,2.86,0%
Swarm and Evolutionary Computation,SWARM EVOL COMPUT,2210-6502,2210-6510,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,569",10.267,Q1,2.16,2.45%
IEEE Internet of Things Journal,IEEE INTERNET THINGS,2327-4662,2327-4662,"COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","34,730",10.238,Q1,2.75,3.06%
ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,ROBOT CIM-INT MANUF,0736-5845,1879-2537,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","8,769",10.103,Q1,2,5.57%
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,COMPUT-AIDED CIV INF,1093-9687,1467-8667,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - SCIE","6,723",10.066,Q1,2.24,11.69%
IEEE Computational Intelligence Magazine,IEEE COMPUT INTELL M,1556-603X,1556-6048,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,720",9.809,Q1,1.89,5.88%
NEURAL NETWORKS,NEURAL NETWORKS,0893-6080,1879-2782,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","23,717",9.657,Q1,1.87,10.17%
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","7,204",9.588,Q1,1.44,7.66%
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,IEEE T KNOWL DATA EN,1041-4347,1558-2191,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE; COMPUTER SCIENCE, INFORMATION SYSTEMS - SCIE","20,454",9.235,Q1,1.8,2.72%
Transactions of the Association for Computational Linguistics,T ASSOC COMPUT LING,N/A,2307-387X,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","2,530",9.194,Q1,5.67,93.09%
NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,NEUROSCI BIOBEHAV R,0149-7634,1873-7528,BEHAVIORAL SCIENCES - SCIE,"40,813",9.052,Q1,1.29,18.88%
