Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
NATURE,NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES - SCIE,"1,008,544",69.504,Q1,10.88,8.02%
SCIENCE,SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE,"883,834",63.714,Q1,10.16,0.79%
Nature Human Behaviour,NAT HUM BEHAV,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES - SCIE,"11,204",24.252,Q1,4.75,4.34%
National Science Review,NATL SCI REV,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES - SCIE,"10,508",23.178,Q1,2.82,98.76%
Science Bulletin,SCI BULL,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES - SCIE,"13,517",20.577,Q1,2.19,8.70%
Nature Communications,NAT COMMUN,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES - SCIE,"604,735",17.694,Q1,3.13,99.42%
Science Advances,SCI ADV,2375-2548,2375-2548,MULTIDISCIPLINARY SCIENCES - SCIE,"104,068",14.957,Q1,2.94,90.14%
Journal of Advanced Research,J ADV RES,2090-1232,2090-1224,MULTIDISCIPLINARY SCIENCES - SCIE,"8,207",12.822,Q1,2.04,99.49%
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,P NATL ACAD SCI USA,0027-8424,1091-6490,MULTIDISCIPLINARY SCIENCES - SCIE,"860,450",12.779,Q1,2.61,34.09%
Research,RESEARCH-CHINA,N/A,2639-5274,MULTIDISCIPLINARY SCIENCES - SCIE,"3,467",11.036,Q1,1.58,82.68%
Research Synthesis Methods,RES SYNTH METHODS,1759-2879,1759-2887,MULTIDISCIPLINARY SCIENCES - SCIE,"5,479",9.308,Q1,1.84,49.22%
Scientific Data,SCI DATA,N/A,2052-4463,MULTIDISCIPLINARY SCIENCES - SCIE,"17,754",8.501,Q1,1.84,99.81%
GigaScience,GIGASCIENCE,2047-217X,2047-217X,MULTIDISCIPLINARY SCIENCES - SCIE,"8,120",7.658,Q1,1.71,98.99%
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,ANN NY ACAD SCI,0077-8923,1749-6632,MULTIDISCIPLINARY SCIENCES - SCIE,"53,642",6.499,Q1,0.94,23.08%
iScience,ISCIENCE,N/A,2589-0042,MULTIDISCIPLINARY SCIENCES - SCIE,"13,293",6.107,Q1,1.03,98.96%
