Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
BRIEFINGS IN BIOINFORMATICS,BRIEF BIOINFORM,1467-5463,1477-4054,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"15,191",13.994,Q1,2.98,22.94%
Wiley Interdisciplinary Reviews-Computational Molecular Science,WIRES COMPUT MOL SCI,1759-0876,1759-0884,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"9,679",11.5,Q1,2.79,18.39%
Research Synthesis Methods,RES SYNTH METHODS,1759-2879,1759-2887,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"5,479",9.308,Q1,1.84,49.22%
IEEE Journal of Biomedical and Health Informatics,IEEE J BIOMED HEALTH,2168-2194,2168-2208,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"11,304",7.021,Q1,1.69,6.79%
BIOINFORMATICS,BIOINFORMATICS,1367-4803,1460-2059,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"174,343",6.931,Q1,2.01,38.56%
COMPUTERS IN BIOLOGY AND MEDICINE,COMPUT BIOL MED,0010-4825,1879-0534,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"14,531",6.698,Q1,1.46,10.97%
BIOSTATISTICS,BIOSTATISTICS,1465-4644,1468-4357,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"5,158",5.279,Q1,1.81,13.68%
Current Bioinformatics,CURR BIOINFORM,1574-8936,2212-392X,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,505",4.85,Q1,0.86,0%
PLoS Computational Biology,PLOS COMPUT BIOL,1553-734X,1553-7358,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"41,739",4.779,Q1,1.1,99.61%
npj Systems Biology and Applications,NPJ SYST BIOL APPL,N/A,2056-7189,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,975,4.671,Q1,1.21,98.29%
Database-The Journal of Biological Databases and Curation,DATABASE-OXFORD,1758-0463,1758-0463,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"5,610",4.462,Q1,0.65,97.76%
BioData Mining,BIODATA MIN,1756-0381,1756-0381,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,075",4.079,Q1,0.73,98.85%
Molecular Informatics,MOL INFORM,1868-1743,1868-1751,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"2,155",4.05,Q1,1.16,13.46%
MATHEMATICAL BIOSCIENCES,MATH BIOSCI,0025-5564,1879-3134,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"8,137",3.935,Q1,0.87,5.98%
BULLETIN OF MATHEMATICAL BIOLOGY,B MATH BIOL,0092-8240,1522-9602,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"6,593",3.871,Q2,0.88,24.55%
Frontiers in Neuroinformatics,FRONT NEUROINFORM,N/A,1662-5196,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"4,037",3.739,Q2,0.92,99.01%
SAR AND QSAR IN ENVIRONMENTAL RESEARCH,SAR QSAR ENVIRON RES,1062-936X,1029-046X,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,555",3.681,Q2,0.72,3.52%
Interdisciplinary Sciences-Computational Life Sciences,INTERDISCIP SCI,1913-2751,1867-1462,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,021",3.492,Q2,0.76,3.30%
Frontiers in Computational Neuroscience,FRONT COMPUT NEUROSC,N/A,1662-5188,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"3,950",3.387,Q2,0.69,99.08%
BMC BIOINFORMATICS,BMC BIOINFORMATICS,1471-2105,1471-2105,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"50,683",3.307,Q2,0.82,99.63%
Computational Intelligence and Neuroscience,COMPUT INTEL NEUROSC,1687-5265,1687-5273,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"5,672",3.12,Q2,0.7,97.46%
Mathematical Modelling of Natural Phenomena,MATH MODEL NAT PHENO,0973-5348,1760-6101,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,286",3.117,Q2,1.31,63.28%
MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,MED BIOL ENG COMPUT,0140-0118,1741-0444,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"7,588",3.079,Q2,0.65,8.49%
BIOMETRIKA,BIOMETRIKA,0006-3444,1464-3510,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"28,960",3.028,Q2,0.85,5.93%
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,J MOL GRAPH MODEL,1093-3263,1873-4243,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"11,586",2.942,Q2,0.79,1.81%
Computational and Mathematical Methods in Medicine,COMPUT MATH METHOD M,1748-670X,1748-6718,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"4,464",2.809,Q2,0.62,98.74%
Journal of Biological Dynamics,J BIOL DYNAM,1751-3758,1751-3766,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"1,134",2.726,Q2,0.62,100%
International Journal for Numerical Methods in Biomedical Engineering,INT J NUMER METH BIO,2040-7939,2040-7947,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"2,559",2.648,Q2,0.7,16.40%
STATISTICS IN MEDICINE,STAT MED,0277-6715,1097-0258,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"34,646",2.497,Q3,0.64,17.19%
STATISTICAL METHODS IN MEDICAL RESEARCH,STAT METHODS MED RES,0962-2802,1477-0334,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"7,405",2.494,Q3,0.9,15.53%
Journal of Mathematical Neuroscience,J MATH NEUROSCI,2190-8567,2190-8567,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,323,2.407,Q3,0.51,100%
JOURNAL OF THEORETICAL BIOLOGY,J THEOR BIOL,0022-5193,1095-8541,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,"23,616",2.405,Q3,0.73,12.79%
