Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY - SCIE","60,783",50.485,Q1,8.58,19%
NATURE MATERIALS,NAT MATER,1476-1122,1476-4660,"PHYSICS, CONDENSED MATTER - SCIE","119,078",47.656,Q1,7.04,1.46%
Nature Reviews Physics,NAT REV PHYS,N/A,2522-5820,"PHYSICS, MULTIDISCIPLINARY - SCIE","3,539",36.273,Q1,2.16,1.44%
ADVANCED MATERIALS,ADV MATER,0935-9648,1521-4095,"PHYSICS, CONDENSED MATTER - SCIE","361,407",32.086,Q1,4.18,11.97%
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY - SCIE","34,796",30.51,Q1,2.89,22.01%
Advanced Energy Materials,ADV ENERGY MATER,1614-6832,1614-6840,"PHYSICS, CONDENSED MATTER - SCIE","116,667",29.698,Q1,3.94,12.65%
Annual Review of Fluid Mechanics,ANNU REV FLUID MECH,0066-4189,1545-4479,"PHYSICS, FLUIDS & PLASMAS - SCIE","17,011",25.293,Q1,2.24,1.67%
Annual Review of Condensed Matter Physics,ANNU REV CONDEN MA P,1947-5454,1947-5462,"PHYSICS, CONDENSED MATTER - SCIE","4,665",23.978,Q1,1.08,0%
ADVANCES IN PHYSICS,ADV PHYS,0001-8732,1460-6976,"PHYSICS, CONDENSED MATTER - SCIE","6,536",23.75,Q1,1.05,0%
ADVANCED FUNCTIONAL MATERIALS,ADV FUNCT MATER,1616-301X,1616-3028,"PHYSICS, CONDENSED MATTER - SCIE","194,635",19.924,Q1,2.66,10.07%
Nature Physics,NAT PHYS,1745-2473,1745-2481,"PHYSICS, MULTIDISCIPLINARY - SCIE","48,349",19.684,Q1,4.94,3.38%
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,0034-4885,1361-6633,"PHYSICS, MULTIDISCIPLINARY - SCIE","21,972",17.802,Q1,1.86,0%
Small,SMALL,1613-6810,1613-6829,"PHYSICS, CONDENSED MATTER - SCIE","97,357",15.153,Q1,1.89,8.44%
Physical Review X,PHYS REV X,2160-3308,2160-3308,"PHYSICS, MULTIDISCIPLINARY - SCIE","26,307",14.417,Q1,3.78,99.22%
SURFACE SCIENCE REPORTS,SURF SCI REP,0167-5729,1879-274X,"PHYSICS, CONDENSED MATTER - SCIE","4,656",13.417,Q1,0.54,15.79%
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,1359-0286,1879-0348,"PHYSICS, CONDENSED MATTER - SCIE","5,120",12.857,Q1,0.59,11.24%
NANO LETTERS,NANO LETT,1530-6984,1530-6992,"PHYSICS, CONDENSED MATTER - SCIE","183,125",12.262,Q1,1.95,11.11%
CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,CRIT REV SOLID STATE,1040-8436,1547-6561,"PHYSICS, CONDENSED MATTER - SCIE","2,380",11.178,Q1,0.54,4%
Laser & Photonics Reviews,LASER PHOTONICS REV,1863-8880,1863-8899,"PHYSICS, CONDENSED MATTER - SCIE","10,729",10.947,Q1,2.05,17.54%
npj Quantum Information,NPJ QUANTUM INFORM,N/A,2056-6387,"PHYSICS, CONDENSED MATTER - SCIE","4,351",10.758,Q1,2.21,98.95%
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,0960-0779,1873-2887,"PHYSICS, MULTIDISCIPLINARY - SCIE; PHYSICS, MATHEMATICAL - SCIE","27,592",9.922,Q1,2.77,1.16%
PHYSICAL REVIEW LETTERS,PHYS REV LETT,0031-9007,1079-7114,"PHYSICS, MULTIDISCIPLINARY - SCIE","515,735",9.185,Q1,2.34,28.18%
Advances in Physics-X,ADV PHYS-X,2374-6149,2374-6149,"PHYSICS, MULTIDISCIPLINARY - SCIE","1,555",8.526,Q1,0.92,99.01%
Cell Reports Physical Science,CELL REP PHYS SCI,N/A,2666-3864,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,080",7.832,Q1,1.26,99.21%
PRX Quantum,PRX QUANTUM,N/A,2691-3399,"PHYSICS, MULTIDISCIPLINARY - SCIE",888,7.514,Q1,1.46,95.17%
Progress of Theoretical and Experimental Physics,PROG THEOR EXP PHYS,2050-3911,N/A,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,686",7.492,Q1,0.79,99.17%
APPLIED SURFACE SCIENCE,APPL SURF SCI,0169-4332,1873-5584,"PHYSICS, CONDENSED MATTER - SCIE","170,233",7.392,Q1,1.33,2.59%
PROGRESS IN SURFACE SCIENCE,PROG SURF SCI,0079-6816,1878-4240,"PHYSICS, CONDENSED MATTER - SCIE","2,264",7.111,Q1,0.34,12.50%
ACS Photonics,ACS PHOTONICS,2330-4022,N/A,"PHYSICS, CONDENSED MATTER - SCIE","20,030",7.077,Q1,1.47,14.90%
npj Quantum Materials,NPJ QUANTUM MATER,N/A,2397-4648,"PHYSICS, CONDENSED MATTER - SCIE","2,444",6.856,Q1,1.48,100%
CONTEMPORARY PHYSICS,CONTEMP PHYS,0010-7514,1366-5812,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,167",6.842,Q1,1.07,0%
Quantum Science and Technology,QUANTUM SCI TECHNOL,2058-9565,2058-9565,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,348",6.568,Q1,1.8,23.61%
SciPost Physics,SCIPOST PHYS,2542-4653,2542-4653,"PHYSICS, MULTIDISCIPLINARY - SCIE","3,780",6.554,Q1,1.62,98.68%
Communications Physics,COMMUN PHYS-UK,2399-3650,2399-3650,"PHYSICS, MULTIDISCIPLINARY - SCIE","3,575",6.497,Q1,1.5,100%
Quantum,QUANTUM-AUSTRIA,2521-327X,2521-327X,"PHYSICS, MULTIDISCIPLINARY - SCIE","3,190",6.439,Q1,1.94,96.55%
Surfaces and Interfaces,SURF INTERFACES,2468-0230,2468-0230,"PHYSICS, CONDENSED MATTER - SCIE","5,702",6.137,Q2,1.01,1.96%
Matter and Radiation at Extremes,MATTER RADIAT EXTREM,2468-2047,2468-080X,"PHYSICS, MULTIDISCIPLINARY - SCIE",898,6.089,Q1,0.84,100%
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,J MECH PHYS SOLIDS,0022-5096,1873-4782,"PHYSICS, CONDENSED MATTER - SCIE","27,635",5.582,Q2,1.13,7.22%
FORTSCHRITTE DER PHYSIK-PROGRESS OF PHYSICS,FORTSCHR PHYS,0015-8208,1521-3978,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,628",5.532,Q1,1.44,17.39%
Science China-Physics Mechanics & Astronomy,SCI CHINA PHYS MECH,1674-7348,1869-1927,"PHYSICS, MULTIDISCIPLINARY - SCIE","4,342",5.203,Q1,1.18,0.88%
Frontiers of Physics,FRONT PHYS-BEIJING,2095-0462,2095-0470,"PHYSICS, MULTIDISCIPLINARY - SCIE","2,428",5.142,Q1,0.72,0.48%
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,J PHYS CHEM REF DATA,0047-2689,1529-7845,"PHYSICS, MULTIDISCIPLINARY - SCIE","8,886",5.048,Q2,0.67,14.29%
PHYSICS OF FLUIDS,PHYS FLUIDS,1070-6631,1089-7666,"PHYSICS, FLUIDS & PLASMAS - SCIE","55,662",4.98,Q1,1.35,4.78%
COMPUTER PHYSICS COMMUNICATIONS,COMPUT PHYS COMMUN,0010-4655,1879-2944,"PHYSICS, MATHEMATICAL - SCIE","28,663",4.717,Q1,1.6,10.74%
JOURNAL OF COMPUTATIONAL PHYSICS,J COMPUT PHYS,0021-9991,1090-2716,"PHYSICS, MATHEMATICAL - SCIE","68,920",4.645,Q1,1.21,4.96%
MATERIALS SCIENCE IN SEMICONDUCTOR PROCESSING,MAT SCI SEMICON PROC,1369-8001,1873-4081,"PHYSICS, CONDENSED MATTER - SCIE","14,529",4.644,Q2,0.94,1.53%
