Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
Annual Review of Entomology,ANNU REV ENTOMOL,0066-4170,1545-4487,ENTOMOLOGY - SCIE,"14,912",23.8,Q1,3.84,5.56%
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,ECOLOGY - SCIE,"16,845",16.8,Q1,3.92,11.18%
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,EVOLUTIONARY BIOLOGY - SCIE,"16,845",16.8,Q1,3.92,11.18%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,ECOLOGY - SCIE,"39,957",16.8,Q1,1.89,27.80%
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,EVOLUTIONARY BIOLOGY - SCIE,"39,957",16.8,Q1,1.89,27.80%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,ECOLOGY - SCIE,"21,855",11.8,Q1,1.23,0%
Annual Review of Ecology Evolution and Systematics,ANNU REV ECOL EVOL S,1543-592X,1545-2069,EVOLUTIONARY BIOLOGY - SCIE,"21,855",11.8,Q1,1.23,0%
Physics of Life Reviews,PHYS LIFE REV,1571-0645,1873-1457,BIOLOGY - SCIE,"1,950",11.7,Q1,1.33,23.08%
GLOBAL CHANGE BIOLOGY,GLOBAL CHANGE BIOL,1354-1013,1365-2486,ECOLOGY - SCIE,"67,135",11.6,Q1,2.42,28.88%
ISME Journal,ISME J,1751-7362,1751-7370,ECOLOGY - SCIE,"40,061",11,Q1,2.56,64.18%
MOLECULAR BIOLOGY AND EVOLUTION,MOL BIOL EVOL,0737-4038,1537-1719,EVOLUTIONARY BIOLOGY - SCIE,"64,994",10.7,Q1,2.19,82.48%
FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,FRONT ECOL ENVIRON,1540-9295,1540-9309,ECOLOGY - SCIE,"13,393",10.3,Q1,1.84,47.09%
BIOSCIENCE,BIOSCIENCE,0006-3568,1525-3244,BIOLOGY - SCIE,"21,513",10.1,Q1,2.32,37.96%
BIOLOGICAL REVIEWS,BIOL REV,1464-7931,1469-185X,BIOLOGY - SCIE,"18,737",10,Q1,2.63,32.96%
PLOS BIOLOGY,PLOS BIOL,1544-9173,1545-7885,BIOLOGY - SCIE,"41,783",9.8,Q1,1.97,98.31%
CURRENT BIOLOGY,CURR BIOL,0960-9822,1879-0445,BIOLOGY - SCIE,"79,963",9.2,Q1,1.63,34.84%
LANDSCAPE AND URBAN PLANNING,LANDSCAPE URBAN PLAN,0169-2046,1872-6062,ECOLOGY - SCIE,"28,597",9.1,Q1,2.26,31.88%
Science China-Life Sciences,SCI CHINA LIFE SCI,1674-7305,1869-1889,BIOLOGY - SCIE,"7,523",9.1,Q1,1.77,1.04%
ECOLOGY LETTERS,ECOL LETT,1461-023X,1461-0248,ECOLOGY - SCIE,"39,640",8.8,Q1,2.08,27.90%
eLife,ELIFE,2050-084X,2050-084X,BIOLOGY - SCIE,"94,866",7.7,Q1,2.07,99.45%
