Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2022 JIF,JIF Quartile,2022 JCI,% of OA Gold
NATURE,NATURE,0028-0836,1476-4687,MULTIDISCIPLINARY SCIENCES - SCIE,"964,876",64.8,Q1,11.32,19.06%
SCIENCE,SCIENCE,0036-8075,1095-9203,MULTIDISCIPLINARY SCIENCES - SCIE,"818,308",56.9,Q1,9.57,6.80%
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,1539-0756,"PHYSICS, MULTIDISCIPLINARY - SCIE","59,731",44.1,Q1,4.69,10.20%
Nature Reviews Methods Primers,NAT REV METHOD PRIME,N/A,2662-8449,MULTIDISCIPLINARY SCIENCES - ESCI,"1,949",39.5,N/A,6.46,9.20%
Nature Reviews Physics,NAT REV PHYS,N/A,2522-5820,"PHYSICS, MULTIDISCIPLINARY - SCIE","5,880",38.5,Q1,2.56,0.74%
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,1935-8237,1935-8245,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","3,581",32.8,N/A,8.76,0%
Innovation,INNOVATION-AMSTERDAM,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES - ESCI,"3,546",32.1,N/A,4.98,83.65%
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYS REP,0370-1573,1873-6270,"PHYSICS, MULTIDISCIPLINARY - SCIE","33,872",30,Q1,2.56,27.16%
Nature Human Behaviour,NAT HUM BEHAV,2397-3374,2397-3374,MULTIDISCIPLINARY SCIENCES - SCIE,"14,216",29.9,Q1,6.36,9.69%
Nature Machine Intelligence,NAT MACH INTELL,N/A,2522-5839,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","6,863",23.8,Q1,3.97,9.49%
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,IEEE T PATTERN ANAL,0162-8828,1939-3539,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","82,074",23.6,Q1,6.76,9.08%
National Science Review,NATL SCI REV,2095-5138,2053-714X,MULTIDISCIPLINARY SCIENCES - SCIE,"13,369",20.6,Q1,3.19,92.41%
Nature Physics,NAT PHYS,1745-2473,1745-2481,"PHYSICS, MULTIDISCIPLINARY - SCIE","48,774",19.6,Q1,4.66,10.60%
INTERNATIONAL JOURNAL OF COMPUTER VISION,INT J COMPUT VISION,0920-5691,1573-1405,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","26,941",19.5,Q1,2.92,21.03%
Science Bulletin,SCI BULL,2095-9273,2095-9281,MULTIDISCIPLINARY SCIENCES - SCIE,"15,992",18.9,Q1,2.78,12.26%
Information Fusion,INFORM FUSION,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,059",18.6,Q1,3.69,9.22%
REPORTS ON PROGRESS IN PHYSICS,REP PROG PHYS,0034-4885,1361-6633,"PHYSICS, MULTIDISCIPLINARY - SCIE","21,070",18.1,Q1,1.56,0%
Nature Communications,NAT COMMUN,N/A,2041-1723,MULTIDISCIPLINARY SCIENCES - SCIE,"675,323",16.6,Q1,3.23,99.68%
ARTIFICIAL INTELLIGENCE,ARTIF INTELL,0004-3702,1872-7921,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","16,576",14.4,Q1,0.87,19.81%
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,IEEE T EVOLUT COMPUT,1089-778X,1941-0026,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","22,824",14.3,Q1,3.29,10.83%
Science Advances,SCI ADV,2375-2548,2375-2548,MULTIDISCIPLINARY SCIENCES - SCIE,"126,246",13.6,Q1,2.83,56.46%
Big Data Mining and Analytics,BIG DATA MIN ANAL,N/A,2096-0654,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI","1,044",13.6,N/A,2.27,100%
Physical Review X,PHYS REV X,2160-3308,2160-3308,"PHYSICS, MULTIDISCIPLINARY - SCIE","27,491",12.5,Q1,3.62,99.21%
Annual Review of Animal Biosciences,ANNU REV ANIM BIOSCI,2165-8102,2165-8110,ZOOLOGY - SCIE,"1,994",12,Q1,5.54,5%
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE","10,469",12,Q1,1.52,11.82%
