"","Journal.name","JIF"
"19","NATURE",50.5
"29","SCIENCE",44.7
"188","TRENDS IN ECOLOGY & EVOLUTION",16.7
"11627","Annual Review of Entomology",15
"11640","Nature Communications",14.7
"11667","Nature Ecology & Evolution",13.9
"11758","Science Advances",11.7
"17747","PHYSICAL REVIEW LETTERS",8.1
"17753","CURRENT BIOLOGY",8.1
"19808","PLOS BIOLOGY",7.8
"19842","ECOLOGY LETTERS",7.6
"560","eLife",6.4
"597","Methods in Ecology and Evolution",6.3
"2800","Current Opinion in Insect Science",5.8
"7001","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",5.4
"7126","Communications Biology",5.2
"11571","FUNCTIONAL ECOLOGY",4.6
"11595","iScience",4.6
"13550","BMC BIOLOGY",4.4
"13560","ECOLOGY",4.4
"14274","Scientific Reports",3.8
"14275","PLoS Computational Biology",3.8
"14452","Journal of the Royal Society Interface",3.7
"14577","Interface Focus",3.6
"14583","MOLECULAR PHYLOGENETICS AND EVOLUTION",3.6
"14709","JOURNAL OF ANIMAL ECOLOGY",3.5
"14918","Evolution Letters",3.4
"14922","Movement Ecology",3.4
"15757","HEREDITY",3.1
"15764","EVOLUTION",3.1
"15767","OIKOS",3.1
"15778","Ecological Complexity",3.1
"16037","ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA",3
"16186","Insect Science",2.9
"16264","Royal Society Open Science",2.9
"16273","PLoS One",2.9
"16275","JOURNAL OF BIOLOGICAL RHYTHMS",2.9
"16547","Biology Letters",2.8
"16586","JOURNAL OF EXPERIMENTAL BIOLOGY",2.8
"16736","Insects",2.7
"17156","ECOLOGICAL MODELLING",2.6
"17433","BEHAVIORAL ECOLOGY",2.5
"17982","AMERICAN NATURALIST",2.4
"18075","Frontiers in Ecology and Evolution",2.4
"18260","JOURNAL OF INSECT PHYSIOLOGY",2.3
"18264","ANIMAL BEHAVIOUR",2.3
"18395","OECOLOGIA",2.3
"18411","PeerJ",2.3
"18431","Ecology and Evolution",2.3
"18671","JOURNAL OF ECONOMIC ENTOMOLOGY",2.2
"18723","PHYSICAL REVIEW E",2.2
"18898","JOURNAL OF CHEMICAL ECOLOGY",2.2
"19095","JOURNAL OF INSECT SCIENCE",2.1
"19178","Swarm Intelligence",2.1
"19182","Science of Nature",2.1
"19260","JOURNAL OF EVOLUTIONARY BIOLOGY",2.1
"19365","JOURNAL OF EUKARYOTIC MICROBIOLOGY",2.1
"19540","ECOLOGICAL ENTOMOLOGY",2
"19692","BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",2
"20143","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY",1.9
"20291","EUROPEAN JOURNAL OF PROTISTOLOGY",1.9
"20294","JOURNAL OF THEORETICAL BIOLOGY",1.9
"20318","Evolutionary Biology",1.9
"20605","ENVIRONMENTAL ENTOMOLOGY",1.8
"20789","Biology Open",1.8
"20838","EVOLUTIONARY ECOLOGY",1.8
"21041","Zoological Letters",1.7
"21341","ECOLOGICAL RESEARCH",1.7
"356","EUROPEAN PHYSICAL JOURNAL B",1.6
"21533","Current Zoology",1.6
"21563","BULLETIN OF ENTOMOLOGICAL RESEARCH",1.6
"21664","PHYSIOLOGICAL ENTOMOLOGY",1.6
"21768","ARTIFICIAL LIFE",1.6
"1215","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA",1.4
"1316","INSECTES SOCIAUX",1.4
"1814","ETHOLOGY ECOLOGY & EVOLUTION",1.3
"1861","Behavioural Processes",1.3
"1864","ETHOLOGY",1.3
"1901","APPLIED ENTOMOLOGY AND ZOOLOGY",1.3
"3337","POPULATION ECOLOGY",1.1
"3759","JOURNAL OF INSECT BEHAVIOR",1
"3946","BIOLOGICAL RHYTHM RESEARCH",1
"4390","JOURNAL OF ETHOLOGY",0.9
"5479","Artificial Life and Robotics",0.8
"5873","ENTOMOLOGICAL SCIENCE",0.7
"5903","SOCIOBIOLOGY",0.7
