Journal.name,JIF
CA-A CANCER JOURNAL FOR CLINICIANS,503.1
NATURE REVIEWS DRUG DISCOVERY,122.7
LANCET,98.4
NEW ENGLAND JOURNAL OF MEDICINE,96.2
BMJ-British Medical Journal,93.6
NATURE REVIEWS MOLECULAR CELL BIOLOGY,81.3
Nature Reviews Clinical Oncology,81.1
Nature Reviews Materials,79.8
Nature Reviews Disease Primers,76.9
NATURE REVIEWS CANCER,72.5
NATURE REVIEWS MICROBIOLOGY,69.2
NATURE REVIEWS IMMUNOLOGY,67.7
Foundations and Trends in Machine Learning,65.3
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,63.1
World Psychiatry,60.5
NATURE MEDICINE,58.7
ANNALS OF ONCOLOGY,56.7
CHEMICAL REVIEWS,51.4
NATURE,50.5
Nature Reviews Methods Primers,50.1
Nature Energy,49.7
Nature Reviews Earth & Environment,49.7
CANCER CELL,48.8
LANCET NEUROLOGY,46.5
Nature Reviews Gastroenterology & Hepatology,45.9
REVIEWS OF MODERN PHYSICS,45.9
CELL,45.5
Nature Reviews Physics,44.8
SCIENCE,44.7
Lancet Diabetes & Endocrinology,44.0
eScience,42.9
Nature Catalysis,42.8
JOURNAL OF CLINICAL ONCOLOGY,42.1
Nature Reviews Cardiology,41.7
LANCET ONCOLOGY,41.6
Signal Transduction and Targeted Therapy,40.8
CHEMICAL SOCIETY REVIEWS,40.4
NATURE REVIEWS GENETICS,39.1
Lancet Respiratory Medicine,38.7
Joule,38.6
Nature Nanotechnology,38.1
Nature Reviews Chemistry,38.1
EUROPEAN HEART JOURNAL,37.6
MMWR Surveillance Summaries,37.3
NATURE MATERIALS,37.2
LANCET INFECTIOUS DISEASES,36.4
NATURE METHODS,36.1
CIRCULATION,35.5
ADVANCES IN PHYSICS,35.0
IEEE Communications Surveys and Tutorials,34.4
Nature Electronics,33.7
PROGRESS IN MATERIALS SCIENCE,33.6
Innovation,33.2
NATURE BIOTECHNOLOGY,33.1
Energy & Environmental Science,32.4
Nature Photonics,32.3
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,32.0
