"","journalname","IF"
"1","AMERICAN NATURALIST",2.7
"2","ANIMAL BEHAVIOUR",2.3
"3","ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA",2.2
"4","ANNUAL REVIEW OF ENTOMOLOGY",16.9
"5","APPLIED ENTOMOLOGY AND ZOOLOGY",1
"6","ARTIFICIAL LIFE",1.8
"7","ARTIFICIAL LIFE AND ROBOTICS",0.8
"8","BEHAVIORAL ECOLOGY",2.2
"9","BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY",2
"10","BEHAVIOURAL PROCESSES",1.6
"11","BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY",1.6
"12","BIOLOGICAL RHYTHM RESEARCH",1
"13","BIOLOGY LETTERS",2.7
"14","BIOLOGY OPEN",1.8
"15","BMC BIOLOGY",5.4
"16","BULLETIN OF ENTOMOLOGICAL RESEARCH",1.7
"17","COMMUNICATIONS BIOLOGY",5.8
"18","CURRENT BIOLOGY",7.7
"19","CURRENT OPINION IN INSECT SCIENCE",5.5
"20","CURRENT ZOOLOGY",2.1
"21","ECOLOGICAL COMPLEXITY",1.9
"22","ECOLOGICAL ENTOMOLOGY",1.8
"23","ECOLOGICAL MODELLING",3.5
"24","ECOLOGICAL RESEARCH",1.7
"25","ECOLOGY",4.1
"26","ECOLOGY AND EVOLUTION",2.6
"27","ECOLOGY LETTERS",7.7
"28","ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA",1.9
"29","ENTOMOLOGICAL SCIENCE",0.8
"30","ENVIRONMENTAL ENTOMOLOGY",1.8
"31","ETHOLOGY",1.3
"32","ETHOLOGY ECOLOGY & EVOLUTION",1.1
"33","EUROPEAN JOURNAL OF PROTISTOLOGY",1.9
"34","EUROPEAN PHYSICAL JOURNAL B",1.9
"35","EVOLUTION",3
"36","EVOLUTION LETTERS",4.3
"37","EVOLUTIONARY BIOLOGY",2.6
"38","EVOLUTIONARY ECOLOGY",2
"39","FRONTIERS IN ECOLOGY AND EVOLUTION",3.2
"40","FUNCTIONAL ECOLOGY",5.5
"41","HEREDITY",2.6
"42","INSECT SCIENCE",3.7
"43","INSECTES SOCIAUX",1.7
"44","INSECTS",3
"45","INTERFACE FOCUS",4
"46","ISCIENCE",4.5
"47","JOURNAL OF ANIMAL ECOLOGY",3.7
"48","JOURNAL OF BIOLOGICAL RHYTHMS",3
"49","JOURNAL OF CHEMICAL ECOLOGY",2.1
"50","JOURNAL OF ECONOMIC ENTOMOLOGY",2.5
"51","JOURNAL OF ETHOLOGY",1.5
"52","JOURNAL OF EUKARYOTIC MICROBIOLOGY",3.3
"53","JOURNAL OF EVOLUTIONARY BIOLOGY",2.3
"54","JOURNAL OF EXPERIMENTAL BIOLOGY",3
"55","JOURNAL OF INSECT BEHAVIOR",0.9
"56","JOURNAL OF INSECT PHYSIOLOGY",2.6
"57","JOURNAL OF INSECT SCIENCE",2.3
"58","JOURNAL OF THE ROYAL SOCIETY INTERFACE",3.4
"59","JOURNAL OF THEORETICAL BIOLOGY",1.9
"60","METHODS IN ECOLOGY AND EVOLUTION",5.7
"61","MOLECULAR PHYLOGENETICS AND EVOLUTION",4
"62","MOVEMENT ECOLOGY",4
"63","NATURE",56.1
"64","NATURE COMMUNICATIONS",18.1
"65","NATURE ECOLOGY & EVOLUTION",17.1
"66","OECOLOGIA",2.5
"67","OIKOS",3
"68","PEERJ",2.9
"69","PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",5.3
"70","PHYSICAL REVIEW E",2.5
"71","PHYSICAL REVIEW LETTERS",9.4
"72","PHYSIOLOGICAL ENTOMOLOGY",1.8
"73","PLOS BIOLOGY",6.9
"74","PLOS COMPUTATIONAL BIOLOGY",3.7
"75","PLOS ONE",2.8
"76","POPULATION ECOLOGY",1.6
"77","PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA",9.5
"78","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES",3.6
"79","ROYAL SOCIETY OPEN SCIENCE",3
"80","SCIENCE",47.3
"81","SCIENCE ADVANCES",13.9
"82","SCIENCE OF NATURE",1.7
"83","SCIENTIFIC REPORTS",4.9
"84","SOCIOBIOLOGY",0.9
"85","SOUTHEASTERN NATURALIST",0.4
"86","STAR PROTOCOLS",1.4
"87","SWARM INTELLIGENCE",2.5
"88","TRENDS IN ECOLOGY & EVOLUTION",17.9
"89","ZOOLOGICAL LETTERS",2.8
