journalname,IF
CA-A CANCER JOURNAL FOR CLINICIANS,685.2
NATURE REVIEWS MOLECULAR CELL BIOLOGY,118.0
LANCET,109.0
NATURE REVIEWS MICROBIOLOGY,104.6
MMWR Surveillance Summaries,96.9
Nature Reviews Clinical Oncology,94.6
NATURE REVIEWS DRUG DISCOVERY,91.2
NATURE REVIEWS DRUG DISCOVERY,91.2
NEW ENGLAND JOURNAL OF MEDICINE,84.5
Nature Reviews Materials,83.3
Nature Reviews Materials,83.3
Signal Transduction and Targeted Therapy,81.2
Signal Transduction and Targeted Therapy,81.2
ANNALS OF ONCOLOGY,80.4
Nature Reviews Disease Primers,79.8
World Psychiatry,79.5
Nature Reviews Earth & Environment,74.1
Nature Reviews Earth & Environment,74.1
Nature Reviews Earth & Environment,74.1
Nature Energy,70.1
Nature Energy,70.1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,65.4
Living Reviews in Relativity,64.6
CHEMICAL REVIEWS,64.2
NATURE REVIEWS CANCER,60.7
Nature Reviews Gastroenterology & Hepatology,57.5
NATURE,56.1
CANCER CELL,56.1
CANCER CELL,56.1
Annual Review of Organizational Psychology and Organizational Behavior,55.9
Annual Review of Organizational Psychology and Organizational Behavior,55.9
BMJ-British Medical Journal,55.1
LANCET NEUROLOGY,54.6
Nature Reviews Methods Primers,54.2
eScience,52.9
eScience,52.9
NATURE MEDICINE,52.5
NATURE MEDICINE,52.5
NATURE MEDICINE,52.5
NATURE REVIEWS GENETICS,51.4
MMWR Recommendations and Reports,51.3
Electrochemical Energy Reviews,50.7
IEEE Communications Surveys and Tutorials,50.6
IEEE Communications Surveys and Tutorials,50.6
Nature Reviews Chemistry,50.3
Nature Reviews Cardiology,50.2
REVIEWS OF MODERN PHYSICS,48.9
Nature Catalysis,48.3
CHEMICAL SOCIETY REVIEWS,48.3
Journal of Hematology & Oncology,47.8
Journal of Hematology & Oncology,47.8
SCIENCE,47.3
NATURE REVIEWS IMMUNOLOGY,47.1
Nature Reviews Nephrology,46.7
Nature Reviews Physics,46.6
Nature Reviews Physics,46.6
EUROPEAN HEART JOURNAL,45.3
CELL,45.1
CELL,45.1
JOURNAL OF CLINICAL ONCOLOGY,44.7
NATURE BIOTECHNOLOGY,44.5
iMeta,44.4
PROGRESS IN MATERIALS SCIENCE,42.9
Nature Reviews Bioengineering,42.7
Nature Reviews Bioengineering,42.7
Nature Electronics,42.3
Molecular Cancer,42.2
Molecular Cancer,42.2
